Episode,Seed,Sparsity,Total Steps,Reward,Completion Rate
276,850538,0.3,179,82.64001393,0.479
277,899651,0.7,160,109.5711229,0.86
278,990367,0.7,93,41.37254831,0.393
279,198190,0.5,223,107.2388529,0.523
280,665219,0.5,149,85.13524917,0.649
281,778181,0.7,175,101.6864756,0.675
282,556634,0.3,143,64.88398851,0.443
283,536500,0.3,132,89.02690414,0.832
284,858967,0.7,115,76.8445738,0.815
285,573034,0.5,158,72.6298338,0.458
286,834382,0.7,138,78.33982381,0.638
287,173677,0.5,150,68.12440173,0.45
288,208293,0.5,169,97.28191087,0.669
289,668325,0.5,186,108.2483172,0.686
290,316454,0.7,164,94.62449351,0.664
291,279361,0.7,186,87.53719983,0.486
292,441844,0.7,139,62.97425079,0.439
293,150729,0.7,211,100.134351,0.511
294,365398,0.5,118,52.77968295,0.418
295,262287,0.5,125,70.23457533,0.625
296,964457,0.5,183,106.498773,0.683
297,190762,0.3,189,109.8998143,0.689
298,930428,0.7,136,91.91093859,0.836
299,736411,0.7,134,60.41270927,0.434
300,403938,0.3,213,100.7840859,0.513
301,523674,0.7,173,118.9847176,0.873
302,777903,0.7,193,90.41384816,0.493
303,341970,0.7,131,58.84888726,0.431
304,169080,0.3,154,70.05787723,0.454
305,763820,0.5,153,104.3620899,0.853
306,477719,0.7,192,111.3966489,0.692
307,387991,0.5,137,62.52510549,0.437
308,442648,0.5,145,82.45486823,0.645
309,239744,0.7,178,102.7585317,0.678
310,567516,0.3,103,45.30031154,0.403
311,29022,0.7,192,133.1107847,0.892
312,267590,0.7,118,52.98348249,0.418
313,485695,0.5,205,96.19056332,0.505
314,904849,0.5,133,75.52305663,0.633
315,278389,0.5,203,118.5721363,0.703
316,417364,0.7,159,91.47102207,0.659
317,801125,0.5,195,92.83108512,0.495
318,259126,0.3,185,107.5912377,0.685
319,136090,0.3,130,87.67656901,0.83
320,506136,0.3,91,60.00839528,0.791
321,632382,0.5,128,86.27653205,0.828
322,954588,0.3,113,62.51841229,0.613
323,708423,0.3,165,112.8065007,0.865
324,188864,0.5,90,60.04165328,0.79
